Unnamed: 0,amount,Conc,elution,res,thrp,priority
247,1.85,8.0,8,PENDING,PENDING,0.0
246,1.7000000000000002,8.0,8,PENDING,PENDING,0.0
245,1.7000000000000002,8.5,5,PENDING,PENDING,0.0
244,1.7000000000000002,10.0,5,PENDING,PENDING,0.0
243,1.7000000000000002,9.5,9,PENDING,PENDING,0.0
242,1.7000000000000002,9.5,8,PENDING,PENDING,0.0
241,1.7000000000000002,9.5,7,PENDING,PENDING,0.0
240,1.7000000000000002,9.5,6,PENDING,PENDING,0.0
239,1.7000000000000002,9.5,5,PENDING,PENDING,0.0
238,1.7000000000000002,9.0,9,PENDING,PENDING,0.0
237,1.7000000000000002,9.0,8,PENDING,PENDING,0.0
236,1.7000000000000002,9.0,7,PENDING,PENDING,0.0
235,1.7000000000000002,9.0,6,PENDING,PENDING,0.0
234,1.7000000000000002,9.0,5,PENDING,PENDING,0.0
233,1.7000000000000002,8.5,9,PENDING,PENDING,0.0
232,1.7000000000000002,8.5,8,PENDING,PENDING,0.0
231,1.7000000000000002,8.5,7,PENDING,PENDING,0.0
230,1.7000000000000002,8.5,6,PENDING,PENDING,0.0
229,1.7000000000000002,8.0,9,PENDING,PENDING,0.0
228,1.85,8.0,9,PENDING,PENDING,0.0
227,1.85,8.5,5,PENDING,PENDING,0.0
226,1.85,8.5,6,PENDING,PENDING,0.0
225,2.0,8.0,9,PENDING,PENDING,0.0
224,2.0,8.0,8,PENDING,PENDING,0.0
223,2.0,8.0,7,PENDING,PENDING,0.0
222,2.0,8.0,6,PENDING,PENDING,0.0
221,2.0,8.0,5,PENDING,PENDING,0.0
220,2.0,7.5,9,PENDING,PENDING,0.0
219,2.0,7.5,8,PENDING,PENDING,0.0
218,2.0,7.5,7,PENDING,PENDING,0.0
217,2.0,7.5,6,PENDING,PENDING,0.0
216,2.0,7.5,5,PENDING,PENDING,0.0
215,2.0,7.0,9,PENDING,PENDING,0.0
214,2.0,7.0,8,PENDING,PENDING,0.0
213,2.0,7.0,7,PENDING,PENDING,0.0
212,2.0,7.0,6,PENDING,PENDING,0.0
211,2.0,7.0,5,PENDING,PENDING,0.0
210,2.0,8.5,5,PENDING,PENDING,0.0
209,2.0,6.5,9,PENDING,PENDING,0.0
208,2.0,8.5,6,PENDING,PENDING,0.0
207,2.0,8.5,8,PENDING,PENDING,0.0
206,2.0,10.0,8,PENDING,PENDING,0.0
205,2.0,10.0,7,PENDING,PENDING,0.0
204,2.0,10.0,6,PENDING,PENDING,0.0
203,2.0,10.0,5,PENDING,PENDING,0.0
202,2.0,9.5,9,PENDING,PENDING,0.0
201,2.0,9.5,8,PENDING,PENDING,0.0
200,2.0,9.5,7,PENDING,PENDING,0.0
199,2.0,9.5,6,PENDING,PENDING,0.0
198,2.0,9.5,5,PENDING,PENDING,0.0
197,2.0,9.0,9,PENDING,PENDING,0.0
196,2.0,9.0,8,PENDING,PENDING,0.0
195,2.0,9.0,7,PENDING,PENDING,0.0
194,2.0,9.0,6,PENDING,PENDING,0.0
193,2.0,9.0,5,PENDING,PENDING,0.0
192,2.0,8.5,9,PENDING,PENDING,0.0
191,2.0,8.5,7,PENDING,PENDING,0.0
190,1.7000000000000002,6.5,6,PENDING,PENDING,0.0
189,2.0,6.5,8,PENDING,PENDING,0.0
188,2.0,6.5,6,PENDING,PENDING,0.0
187,1.85,10.0,6,PENDING,PENDING,0.0
186,1.85,10.0,5,PENDING,PENDING,0.0
185,1.85,9.5,9,PENDING,PENDING,0.0
184,1.85,9.5,8,PENDING,PENDING,0.0
183,1.85,9.5,7,PENDING,PENDING,0.0
182,1.85,9.5,6,PENDING,PENDING,0.0
181,1.85,9.5,5,PENDING,PENDING,0.0
180,1.85,9.0,9,PENDING,PENDING,0.0
179,1.85,9.0,8,PENDING,PENDING,0.0
178,1.85,9.0,7,PENDING,PENDING,0.0
177,1.85,9.0,6,PENDING,PENDING,0.0
176,1.85,9.0,5,PENDING,PENDING,0.0
175,1.85,8.5,9,PENDING,PENDING,0.0
174,1.85,8.5,8,PENDING,PENDING,0.0
173,1.85,8.5,7,PENDING,PENDING,0.0
172,1.85,10.0,7,PENDING,PENDING,0.0
171,2.0,6.5,7,PENDING,PENDING,0.0
170,1.85,10.0,8,PENDING,PENDING,0.0
169,2.0,5.0,5,PENDING,PENDING,0.0
168,2.0,6.5,5,PENDING,PENDING,0.0
167,2.0,6.0,9,PENDING,PENDING,0.0
166,2.0,6.0,8,PENDING,PENDING,0.0
165,2.0,6.0,7,PENDING,PENDING,0.0
164,2.0,6.0,6,PENDING,PENDING,0.0
163,2.0,6.0,5,PENDING,PENDING,0.0
162,2.0,5.5,9,PENDING,PENDING,0.0
161,2.0,5.5,8,PENDING,PENDING,0.0
160,2.0,5.5,7,PENDING,PENDING,0.0
159,2.0,5.5,6,PENDING,PENDING,0.0
158,2.0,5.5,5,PENDING,PENDING,0.0
157,2.0,5.0,9,PENDING,PENDING,0.0
156,2.0,5.0,8,PENDING,PENDING,0.0
155,2.0,5.0,7,PENDING,PENDING,0.0
154,2.0,5.0,6,PENDING,PENDING,0.0
153,1.85,10.0,9,PENDING,PENDING,0.0
152,1.7000000000000002,6.5,5,PENDING,PENDING,0.0
151,1.7000000000000002,6.0,9,PENDING,PENDING,0.0
150,1.7000000000000002,6.0,8,PENDING,PENDING,0.0
149,1.4,7.5,7,PENDING,PENDING,0.0
148,1.4,7.5,6,PENDING,PENDING,0.0
147,1.4,7.5,5,PENDING,PENDING,0.0
146,1.4,7.0,9,PENDING,PENDING,0.0
145,1.4,7.0,8,PENDING,PENDING,0.0
144,1.4,7.0,7,PENDING,PENDING,0.0
143,1.4,7.0,6,PENDING,PENDING,0.0
142,1.4,7.0,5,PENDING,PENDING,0.0
141,1.4,6.5,9,PENDING,PENDING,0.0
140,1.4,6.5,8,PENDING,PENDING,0.0
139,1.4,6.5,7,PENDING,PENDING,0.0
138,1.4,6.5,6,PENDING,PENDING,0.0
137,1.4,6.5,5,PENDING,PENDING,0.0
136,1.4,6.0,9,PENDING,PENDING,0.0
135,1.4,6.0,8,PENDING,PENDING,0.0
134,1.4,7.5,8,PENDING,PENDING,0.0
133,1.4,6.0,7,PENDING,PENDING,0.0
132,1.4,7.5,9,PENDING,PENDING,0.0
131,1.4,8.0,6,PENDING,PENDING,0.0
130,1.4,9.5,6,PENDING,PENDING,0.0
129,1.4,9.5,5,PENDING,PENDING,0.0
128,1.4,9.0,9,PENDING,PENDING,0.0
127,1.4,9.0,8,PENDING,PENDING,0.0
126,1.4,9.0,7,PENDING,PENDING,0.0
125,1.4,9.0,6,PENDING,PENDING,0.0
124,1.4,9.0,5,PENDING,PENDING,0.0
123,1.4,8.5,9,PENDING,PENDING,0.0
122,1.4,8.5,8,PENDING,PENDING,0.0
121,1.4,8.5,7,PENDING,PENDING,0.0
120,1.4,8.5,6,PENDING,PENDING,0.0
119,1.4,8.5,5,PENDING,PENDING,0.0
118,1.4,8.0,9,PENDING,PENDING,0.0
117,1.4,8.0,8,PENDING,PENDING,0.0
116,1.4,8.0,7,PENDING,PENDING,0.0
115,1.4,8.0,5,PENDING,PENDING,0.0
114,1.4,9.5,7,PENDING,PENDING,0.0
113,1.4,6.0,6,PENDING,PENDING,0.0
112,1.4,5.5,9,PENDING,PENDING,0.0
111,1.25,9.0,9,PENDING,PENDING,0.0
110,1.25,9.0,8,PENDING,PENDING,0.0
109,1.25,9.0,7,PENDING,PENDING,0.0
108,1.25,9.0,6,PENDING,PENDING,0.0
107,1.25,9.0,5,PENDING,PENDING,0.0
106,1.25,8.5,9,PENDING,PENDING,0.0
105,1.25,8.5,8,PENDING,PENDING,0.0
104,1.25,8.5,7,PENDING,PENDING,0.0
103,1.25,8.5,6,PENDING,PENDING,0.0
102,1.25,8.5,5,PENDING,PENDING,0.0
101,1.25,8.0,9,PENDING,PENDING,0.0
100,1.25,8.0,8,PENDING,PENDING,0.0
99,1.25,8.0,7,PENDING,PENDING,0.0
98,1.25,8.0,6,PENDING,PENDING,0.0
97,1.25,8.0,5,PENDING,PENDING,0.0
96,1.25,9.5,5,PENDING,PENDING,0.0
95,1.4,6.0,5,PENDING,PENDING,0.0
94,1.25,9.5,6,PENDING,PENDING,0.0
93,1.25,9.5,8,PENDING,PENDING,0.0
92,1.4,5.5,8,PENDING,PENDING,0.0
91,1.4,5.5,7,PENDING,PENDING,0.0
90,1.4,5.5,6,PENDING,PENDING,0.0
89,1.4,5.5,5,PENDING,PENDING,0.0
88,1.4,5.0,9,PENDING,PENDING,0.0
87,1.4,5.0,8,PENDING,PENDING,0.0
86,1.4,5.0,7,PENDING,PENDING,0.0
85,1.4,5.0,6,PENDING,PENDING,0.0
84,1.4,5.0,5,PENDING,PENDING,0.0
83,1.25,10.0,9,PENDING,PENDING,0.0
82,1.25,10.0,8,PENDING,PENDING,0.0
81,1.25,10.0,7,PENDING,PENDING,0.0
80,1.25,10.0,6,PENDING,PENDING,0.0
79,1.25,10.0,5,PENDING,PENDING,0.0
78,1.25,9.5,9,PENDING,PENDING,0.0
